arm,prefix,prefix_tokens,N,R,decode_tokens,median_latency_ms,stddev_ms,peak_hbm_mib,max_branches,n_cow_events,model,notes
hw_vmm_cow,long,4096,4,0,48,73.0712,0.0745,80.0,>=64(cap-limited),0,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode over CoW KV + real driver CoW)
hw_vmm_cow_fullfwd,long,4096,4,0,48,340.9989,211.9982,78.0,>=64(cap-limited),0,Qwen2.5-7B-Instruct-layer0,measured (full real-model forward per token)
sw_prefix,long,4096,4,0,48,69.1944,0.0326,8.09,RAM-bound(>>HW),0,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode + sw block-table bookkeeping)
flashinfer,long,4096,4,0,48,1.7688,0.0068,8.09,RAM-bound(>>HW),0,Qwen2.5-7B-Instruct-layer0,ANALYTIC: 48 paged-steps@0.0347ms(batch=4) + measured sw bookkeeping 0.105ms
hw_vmm_cow,long,4096,4,4,48,78.9426,135.2904,82.0,>=64(cap-limited),8,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode over CoW KV + real driver CoW)
hw_vmm_cow_fullfwd,long,4096,4,4,48,347.9167,4.572,82.0,>=64(cap-limited),8,Qwen2.5-7B-Instruct-layer0,measured (full real-model forward per token)
sw_prefix,long,4096,4,4,48,69.1086,0.0139,8.09,RAM-bound(>>HW),16,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode + sw block-table bookkeeping)
flashinfer,long,4096,4,4,48,1.7217,0.0018,8.09,RAM-bound(>>HW),16,Qwen2.5-7B-Instruct-layer0,ANALYTIC: 48 paged-steps@0.0335ms(batch=4) + measured sw bookkeeping 0.113ms
hw_vmm_cow,long,4096,4,16,48,91.1885,20.7252,80.0,>=64(cap-limited),8,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode over CoW KV + real driver CoW)
hw_vmm_cow_fullfwd,long,4096,4,16,48,441.1922,51.3255,82.0,>=64(cap-limited),8,Qwen2.5-7B-Instruct-layer0,measured (full real-model forward per token)
sw_prefix,long,4096,4,16,48,69.8869,0.0631,8.09,RAM-bound(>>HW),64,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode + sw block-table bookkeeping)
flashinfer,long,4096,4,16,48,1.7692,0.0019,8.09,RAM-bound(>>HW),64,Qwen2.5-7B-Instruct-layer0,ANALYTIC: 48 paged-steps@0.0341ms(batch=4) + measured sw bookkeeping 0.133ms
hw_vmm_cow,long,4096,16,0,48,291.7201,5.0829,-12731.56,>=64(cap-limited),0,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode over CoW KV + real driver CoW)
hw_vmm_cow_fullfwd,long,4096,16,0,48,1321.014,41.7429,80.0,>=64(cap-limited),0,Qwen2.5-7B-Instruct-layer0,measured (full real-model forward per token)
sw_prefix,long,4096,16,0,48,274.9148,0.0856,8.09,RAM-bound(>>HW),0,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode + sw block-table bookkeeping)
flashinfer,long,4096,16,0,48,4.6471,0.002,8.09,RAM-bound(>>HW),0,Qwen2.5-7B-Instruct-layer0,ANALYTIC: 48 paged-steps@0.0897ms(batch=16) + measured sw bookkeeping 0.339ms
hw_vmm_cow,long,4096,16,4,48,314.0216,4.636,80.0,>=64(cap-limited),32,Qwen2.5-7B-Instruct-layer0,measured (SDPA contig decode over CoW KV + real driver CoW)
