threads,cycles_per_thread,total_cycles,wall_s,cycles_per_s,norm_ms_per_100cycles,op,p50_us,p95_us,p99_us,mean_us,n_samples
1,100,100,0.018145,5511.02,18.1455,create,19.034,28.249,52.067,21.885,100
1,100,100,0.018145,5511.02,18.1455,reserve,1.392,1.937,5.402,1.566,100
1,100,100,0.018145,5511.02,18.1455,map,1.397,1.765,3.146,1.546,100
1,100,100,0.018145,5511.02,18.1455,setaccess,66.906,89.166,156.536,71.949,100
1,100,100,0.018145,5511.02,18.1455,unmap,37.933,55.057,82.31,40.827,100
1,100,100,0.018145,5511.02,18.1455,free,1.002,1.319,2.339,1.074,100
1,100,100,0.018145,5511.02,18.1455,release,34.522,51.425,68.844,37.102,100
1,100,100,0.018145,5511.02,18.1455,full_cycle,163.767,221.02,379.066,176.879,100
2,100,200,0.057193,3496.9,28.5967,create,35.008,295.379,446.216,62.223,200
2,100,200,0.057193,3496.9,28.5967,reserve,1.888,3.767,5.53,2.163,200
2,100,200,0.057193,3496.9,28.5967,map,2.629,266.632,415.309,62.678,200
2,100,200,0.057193,3496.9,28.5967,setaccess,144.429,365.072,670.645,201.858,200
2,100,200,0.057193,3496.9,28.5967,unmap,59.029,362.532,914.193,116.583,200
2,100,200,0.057193,3496.9,28.5967,free,1.888,3.221,6.234,2.043,200
2,100,200,0.057193,3496.9,28.5967,release,54.162,289.22,530.432,88.992,200
2,100,200,0.057193,3496.9,28.5967,full_cycle,386.97,1296.818,2751.922,538.033,200
4,100,400,0.105025,3808.6,26.2564,create,39.144,180.315,857.097,93.892,400
4,100,400,0.105025,3808.6,26.2564,reserve,1.792,4.808,52.188,3.418,400
4,100,400,0.105025,3808.6,26.2564,map,1.828,519.014,1514.856,90.26,400
4,100,400,0.105025,3808.6,26.2564,setaccess,92.865,1211.467,3550.141,319.916,400
4,100,400,0.105025,3808.6,26.2564,unmap,59.861,905.823,3639.876,221.468,400
4,100,400,0.105025,3808.6,26.2564,free,1.317,3.816,7.15,2.825,400
4,100,400,0.105025,3808.6,26.2564,release,54.538,641.727,1881.989,162.783,400
4,100,400,0.105025,3808.6,26.2564,full_cycle,281.706,3579.872,9104.281,895.81,400
8,100,800,0.238247,3357.87,29.7808,create,55.935,1098.89,1826.972,290.07,800
8,100,800,0.238247,3357.87,29.7808,reserve,2.664,6.17,253.007,9.164,800
8,100,800,0.238247,3357.87,29.7808,map,100.452,1022.49,1829.214,277.985,800
8,100,800,0.238247,3357.87,29.7808,setaccess,165.29,955.845,1672.143,300.342,800
8,100,800,0.238247,3357.87,29.7808,unmap,448.903,2546.127,5110.206,761.375,800
8,100,800,0.238247,3357.87,29.7808,free,2.684,102.48,229.749,15.853,800
8,100,800,0.238247,3357.87,29.7808,release,191.214,1095.956,2394.631,346.808,800
8,100,800,0.238247,3357.87,29.7808,full_cycle,1666.477,4996.923,8532.598,2003.238,800
