branches,vma_count,live_gib,oom,oom_call
0,390,12.000,False,none
4,390,12.000,False,none
8,391,12.000,False,none
12,391,12.000,False,none
16,391,12.000,False,none
20,391,12.000,False,none
24,391,12.000,False,none
28,391,12.000,False,none
32,391,12.000,False,none
36,391,12.000,False,none
40,391,12.000,False,none
44,391,12.000,False,none
48,391,12.000,False,none
52,391,12.000,False,none
56,391,12.000,False,none
60,391,12.000,False,none
64,391,12.000,False,none
68,391,12.000,False,none
72,391,12.000,False,none
76,391,12.000,False,none
80,391,12.000,False,none
84,392,12.000,False,none
84,392,12.000,True,cuMemSetAccess
