method,seqlen,repeat,kernel,metric,unit,value
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,15.67
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"155,232"
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,76.44
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"10,745,488"
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"25,925"
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,67.24
contig,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"39,844,674"
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,8.98
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"573,056"
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,87.95
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"36,044,478"
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"27,654"
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,71.82
contig,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"156,550,641"
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,15.03
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"155,520"
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,80.21
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"10,309,967"
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"25,925"
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,67.04
vmm,2048,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"39,842,834"
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,8.99
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"572,928"
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,97.79
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"37,705,913"
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"29,383"
