prefix_pages,prefix_mib,method,rep,latency_us
1,2,cow_fork,0,89.90522474050522
1,2,full_clone,0,103.90672832727432
1,2,cow_fork,1,66.94113835692406
1,2,full_clone,1,88.13291788101196
1,2,cow_fork,2,59.43002179265022
1,2,full_clone,2,83.48608389496803
1,2,cow_fork,3,58.15783515572548
1,2,full_clone,3,82.11378008127213
1,2,cow_fork,4,60.49126386642456
1,2,full_clone,4,79.62994277477264
1,2,cow_fork,5,59.76017564535141
1,2,full_clone,5,82.28374645113945
1,2,cow_fork,6,75.90511813759804
1,2,full_clone,6,84.49796587228775
1,2,cow_fork,7,62.60490044951439
1,2,full_clone,7,140.56172221899033
1,2,cow_fork,8,60.06099283695221
1,2,full_clone,8,86.50030940771103
1,2,cow_fork,9,57.63722583651543
1,2,full_clone,9,80.91190829873085
2,4,cow_fork,0,131.15815818309784
2,4,full_clone,0,163.00613060593605
2,4,cow_fork,1,134.31301340460777
2,4,full_clone,1,150.22698789834976
2,4,cow_fork,2,109.66602712869644
2,4,full_clone,2,185.89990213513374
2,4,cow_fork,3,109.17475447058678
2,4,full_clone,3,159.24079343676567
2,4,cow_fork,4,108.48371312022209
2,4,full_clone,4,151.48892998695374
2,4,cow_fork,5,108.1232912838459
2,4,full_clone,5,147.8339545428753
2,4,cow_fork,6,139.6099105477333
2,4,full_clone,6,153.5019837319851
2,4,cow_fork,7,122.65518307685852
2,4,full_clone,7,145.29982581734657
2,4,cow_fork,8,109.35496538877487
2,4,full_clone,8,158.9301973581314
2,4,cow_fork,9,112.7198338508606
2,4,full_clone,9,154.5432023704052
4,8,cow_fork,0,243.93899366259575
4,8,full_clone,0,309.54787507653236
4,8,cow_fork,1,209.75666120648384
4,8,full_clone,1,285.6021746993065
4,8,cow_fork,2,217.50899031758308
4,8,full_clone,2,283.12811627984047
4,8,cow_fork,3,223.98913279175758
4,8,full_clone,3,297.76012524962425
4,8,cow_fork,4,212.55109459161758
4,8,full_clone,4,288.26622292399406
4,8,cow_fork,5,207.81392231583595
4,8,full_clone,5,284.7299911081791
4,8,cow_fork,6,215.98627790808678
4,8,full_clone,6,301.03372409939766
4,8,cow_fork,7,219.24078464508057
4,8,full_clone,7,285.9821543097496
4,8,cow_fork,8,214.32386711239815
4,8,full_clone,8,285.241287201643
4,8,cow_fork,9,212.08962425589561
4,8,full_clone,9,287.3237244784832
8,16,cow_fork,0,425.1822829246521
8,16,full_clone,0,574.5771341025829
8,16,cow_fork,1,433.4747791290283
8,16,full_clone,1,567.7482113242149
8,16,cow_fork,2,414.15588930249214
8,16,full_clone,2,554.4377490878105
8,16,cow_fork,3,417.2110930085182
8,16,full_clone,3,565.3342232108116
8,16,cow_fork,4,442.54912063479424
8,16,full_clone,4,555.5390380322933
8,16,cow_fork,5,412.2531972825527
8,16,full_clone,5,565.7142028212547
8,16,cow_fork,6,429.7802224755287
8,16,full_clone,6,569.0702237188816
8,16,cow_fork,7,410.4897379875183
8,16,full_clone,7,540.7268181443214
8,16,cow_fork,8,405.983068048954
8,16,full_clone,8,562.089029699564
8,16,cow_fork,9,427.58602648973465
8,16,full_clone,9,545.2441982924938
16,32,cow_fork,0,849.0527980029583
16,32,full_clone,0,1103.716902434826
16,32,cow_fork,1,832.247082144022
16,32,full_clone,1,1081.8741284310818
16,32,cow_fork,2,818.0150762200356
16,32,full_clone,2,1089.8862965404987
16,32,cow_fork,3,829.493161290884
16,32,full_clone,3,1077.4079710245132
16,32,cow_fork,4,826.2479677796364
16,32,full_clone,4,1103.0659079551697
16,32,cow_fork,5,850.4139259457588
16,32,full_clone,5,1250.2376921474934
16,32,cow_fork,6,822.4830962717533
16,32,full_clone,6,1105.9008538722992
16,32,cow_fork,7,825.757160782814
16,32,full_clone,7,1088.334247469902
16,32,cow_fork,8,824.2148905992508
16,32,full_clone,8,1111.338846385479
16,32,cow_fork,9,816.33310765028
16,32,full_clone,9,1127.2933334112167
32,64,cow_fork,0,1676.5031032264233
32,64,full_clone,0,2260.754816234112
32,64,cow_fork,1,1608.0280765891075
32,64,full_clone,1,2201.7350420355797
32,64,cow_fork,2,1607.1680001914501
32,64,full_clone,2,2167.5042808055878
32,64,cow_fork,3,1613.7477941811085
32,64,full_clone,3,2208.5863165557384
32,64,cow_fork,4,1668.6399467289448
32,64,full_clone,4,2206.2119096517563
32,64,cow_fork,5,1611.1028380692005
32,64,full_clone,5,2189.9272687733173
32,64,cow_fork,6,1671.8250699341297
32,64,full_clone,6,2187.673933804035
32,64,cow_fork,7,1669.4720834493637
32,64,full_clone,7,2165.9419871866703
32,64,cow_fork,8,1627.6882961392403
32,64,full_clone,8,2184.0990521013737
32,64,cow_fork,9,1650.9233973920345
32,64,full_clone,9,2220.143098384142
64,128,cow_fork,0,3321.507014334202
64,128,full_clone,0,4540.557973086834
64,128,cow_fork,1,3253.55539098382
64,128,full_clone,1,4491.865169256926
64,128,cow_fork,2,3247.364889830351
64,128,full_clone,2,4528.499208390713
64,128,cow_fork,3,3371.3718876242638
64,128,full_clone,3,4602.11094468832
64,128,cow_fork,4,3318.9025707542896
64,128,full_clone,4,4600.1579612493515
64,128,cow_fork,5,3302.9383048415184
64,128,full_clone,5,4729.50330004096
64,128,cow_fork,6,3303.6996610462666
64,128,full_clone,6,4590.142983943224
64,128,cow_fork,7,3280.875738710165
64,128,full_clone,7,4744.5157542824745
64,128,cow_fork,8,3335.116896778345
64,128,full_clone,8,4596.612881869078
64,128,cow_fork,9,3323.7701281905174
64,128,full_clone,9,4807.812161743641
128,256,cow_fork,0,6671.065930277109
128,256,full_clone,0,8906.061761081219
128,256,cow_fork,1,6685.267202556133
128,256,full_clone,1,8927.584160119295
128,256,cow_fork,2,6610.644981265068
128,256,full_clone,2,8749.145083129406
128,256,cow_fork,3,6831.678561866283
128,256,full_clone,3,8797.608315944672
128,256,cow_fork,4,6876.225117594004
128,256,full_clone,4,9126.094169914722
128,256,cow_fork,5,6560.178007930517
128,256,full_clone,5,8738.51915821433
128,256,cow_fork,6,6715.99293127656
128,256,full_clone,6,8664.616849273443
128,256,cow_fork,7,6637.806072831154
128,256,full_clone,7,9170.4111546278
128,256,cow_fork,8,6611.746735870838
128,256,full_clone,8,9450.283832848072
128,256,cow_fork,9,6645.166780799627
128,256,full_clone,9,9625.308215618134
