divergence_frac,effective_divergence_pct,fanout,prefix_pages,method,bytes_written,reduction_pct
0.0,0.0,16,40,cow_fork,0,100.0
0.0,0.0,16,40,full_clone,2684354560,0.0
0.05,5.0,16,40,cow_fork,134217728,95.0
0.05,5.0,16,40,full_clone,2684354560,0.0
0.1,10.0,16,40,cow_fork,268435456,90.0
0.1,10.0,16,40,full_clone,2684354560,0.0
0.25,25.0,16,40,cow_fork,671088640,75.0
0.25,25.0,16,40,full_clone,2684354560,0.0
0.5,50.0,16,40,cow_fork,1342177280,50.0
0.5,50.0,16,40,full_clone,2684354560,0.0
1.0,100.0,16,40,cow_fork,2684354560,0.0
1.0,100.0,16,40,full_clone,2684354560,0.0
