seqlen,method,rep,ms
512,contiguous,0,0.04873599857091904
512,vmm_paged,0,0.033344000577926636
512,contiguous,1,0.031647998839616776
512,vmm_paged,1,0.029888000339269638
512,contiguous,2,0.02985600009560585
512,vmm_paged,2,0.02937600016593933
512,contiguous,3,0.029632000252604485
512,vmm_paged,3,0.029440000653266907
512,contiguous,4,0.02864000014960766
512,vmm_paged,4,0.029664000496268272
512,contiguous,5,0.029184000566601753
512,vmm_paged,5,0.02848000079393387
512,contiguous,6,0.02860799990594387
512,vmm_paged,6,0.028255999088287354
512,contiguous,7,0.02796800062060356
512,vmm_paged,7,0.03433600068092346
512,contiguous,8,0.03187200054526329
512,vmm_paged,8,0.028384000062942505
512,contiguous,9,0.028384000062942505
512,vmm_paged,9,0.027904000133275986
512,contiguous,10,0.027712000533938408
512,vmm_paged,10,0.02735999971628189
512,contiguous,11,0.027871999889612198
512,vmm_paged,11,0.028192000463604927
512,contiguous,12,0.027871999889612198
512,vmm_paged,12,0.02783999964594841
512,contiguous,13,0.027648000046610832
512,vmm_paged,13,0.02812799997627735
512,contiguous,14,0.027295999228954315
512,vmm_paged,14,0.028384000062942505
512,contiguous,15,0.027775999158620834
512,vmm_paged,15,0.02828799933195114
512,contiguous,16,0.02783999964594841
512,vmm_paged,16,0.027904000133275986
512,contiguous,17,0.028960000723600388
512,vmm_paged,17,0.031808000057935715
512,contiguous,18,0.02796800062060356
512,vmm_paged,18,0.02831999957561493
512,contiguous,19,0.027871999889612198
512,vmm_paged,19,0.028192000463604927
512,contiguous,20,0.02800000086426735
512,vmm_paged,20,0.027871999889612198
512,contiguous,21,0.02739199995994568
512,vmm_paged,21,0.028416000306606293
512,contiguous,22,0.027775999158620834
512,vmm_paged,22,0.02879999950528145
512,contiguous,23,0.027264000847935677
512,vmm_paged,23,0.02800000086426735
512,contiguous,24,0.027168000116944313
512,vmm_paged,24,0.02735999971628189
512,contiguous,25,0.027583999559283257
512,vmm_paged,25,0.02783999964594841
512,contiguous,26,0.028224000707268715
512,vmm_paged,26,0.028224000707268715
512,contiguous,27,0.03699199855327606
512,vmm_paged,27,0.029952000826597214
512,contiguous,28,0.028255999088287354
512,vmm_paged,28,0.02812799997627735
512,contiguous,29,0.028224000707268715
512,vmm_paged,29,0.027807999402284622
512,contiguous,30,0.027871999889612198
512,vmm_paged,30,0.02816000021994114
512,contiguous,31,0.028255999088287354
512,vmm_paged,31,0.027936000376939774
512,contiguous,32,0.027008000761270523
512,vmm_paged,32,0.027807999402284622
512,contiguous,33,0.02783999964594841
512,vmm_paged,33,0.027424000203609467
512,contiguous,34,0.027648000046610832
512,vmm_paged,34,0.02755199931561947
512,contiguous,35,0.027327999472618103
512,vmm_paged,35,0.028960000723600388
512,contiguous,36,0.02796800062060356
512,vmm_paged,36,0.028095999732613564
512,contiguous,37,0.02937600016593933
512,vmm_paged,37,0.028384000062942505
512,contiguous,38,0.027327999472618103
512,vmm_paged,38,0.027583999559283257
512,contiguous,39,0.027327999472618103
512,vmm_paged,39,0.027295999228954315
512,contiguous,40,0.02783999964594841
512,vmm_paged,40,0.027456000447273254
512,contiguous,41,0.027295999228954315
512,vmm_paged,41,0.02812799997627735
512,contiguous,42,0.02691200003027916
512,vmm_paged,42,0.02844800055027008
512,contiguous,43,0.027168000116944313
512,vmm_paged,43,0.02768000029027462
512,contiguous,44,0.027327999472618103
512,vmm_paged,44,0.028863999992609024
512,contiguous,45,0.027327999472618103
512,vmm_paged,45,0.027775999158620834
512,contiguous,46,0.02800000086426735
512,vmm_paged,46,0.042847998440265656
512,contiguous,47,0.031072000041604042
512,vmm_paged,47,0.028192000463604927
512,contiguous,48,0.027103999629616737
512,vmm_paged,48,0.027456000447273254
512,contiguous,49,0.028192000463604927
512,vmm_paged,49,0.028255999088287354
1024,contiguous,0,0.059328000992536545
1024,vmm_paged,0,0.052480001002550125
1024,contiguous,1,0.050783999264240265
1024,vmm_paged,1,0.04934399947524071
1024,contiguous,2,0.04960000142455101
1024,vmm_paged,2,0.0498879998922348
1024,contiguous,3,0.04915200173854828
1024,vmm_paged,3,0.04956800118088722
1024,contiguous,4,0.04966399818658829
1024,vmm_paged,4,0.05049600079655647
1024,contiguous,5,0.05036799982190132
1024,vmm_paged,5,0.05161599814891815
1024,contiguous,6,0.04915200173854828
1024,vmm_paged,6,0.04934399947524071
1024,contiguous,7,0.04918399825692177
1024,vmm_paged,7,0.048928000032901764
1024,contiguous,8,0.04931199923157692
1024,vmm_paged,8,0.04944000020623207
1024,contiguous,9,0.04966399818658829
