regime,n_branches,prefix_tokens,decode_tokens,num_layers,total_tokens,wall_s,tokens_per_s,peak_live_mib,kv_bytes_copied,peak_live_per_branch_mib
cow_fork,16,3000,128,4,2048,9.263152565807104,221.09103628064412,288.0,268435456,18.0
full_clone,16,3000,128,4,2048,10.928447584155947,187.40081646813115,544.0,536870912,34.0

branch,tokens_match,token_checksum_cow,token_checksum_clone,first_mismatch_index
0,True,f58fbcaf87436878,f58fbcaf87436878,-1
1,True,f58fbcaf87436878,f58fbcaf87436878,-1
2,True,f58fbcaf87436878,f58fbcaf87436878,-1
3,True,f58fbcaf87436878,f58fbcaf87436878,-1
4,True,f58fbcaf87436878,f58fbcaf87436878,-1
5,True,f58fbcaf87436878,f58fbcaf87436878,-1
6,True,f58fbcaf87436878,f58fbcaf87436878,-1
7,True,f58fbcaf87436878,f58fbcaf87436878,-1
8,True,f58fbcaf87436878,f58fbcaf87436878,-1
9,True,f58fbcaf87436878,f58fbcaf87436878,-1
10,True,f58fbcaf87436878,f58fbcaf87436878,-1
11,True,f58fbcaf87436878,f58fbcaf87436878,-1
12,True,f58fbcaf87436878,f58fbcaf87436878,-1
13,True,f58fbcaf87436878,f58fbcaf87436878,-1
14,True,f58fbcaf87436878,f58fbcaf87436878,-1
15,True,f58fbcaf87436878,f58fbcaf87436878,-1
