regime,n_branches,prefix_tokens,decode_tokens,num_layers,total_tokens,wall_s,tokens_per_s,peak_live_mib,kv_bytes_copied,peak_live_per_branch_mib
cow_fork,8,3000,32,28,256,6.526183811947703,39.226599706145606,1120.0,939524096,140.0
full_clone,8,3000,32,28,256,6.457764899823815,39.64219880581041,2016.0,1879048192,252.0

branch,tokens_match,token_checksum_cow,token_checksum_clone,first_mismatch_index
0,True,478cd0c0714883a4,478cd0c0714883a4,-1
1,True,478cd0c0714883a4,478cd0c0714883a4,-1
2,True,478cd0c0714883a4,478cd0c0714883a4,-1
3,True,478cd0c0714883a4,478cd0c0714883a4,-1
4,True,478cd0c0714883a4,478cd0c0714883a4,-1
5,True,478cd0c0714883a4,478cd0c0714883a4,-1
6,True,478cd0c0714883a4,478cd0c0714883a4,-1
7,True,478cd0c0714883a4,478cd0c0714883a4,-1

toks_per_page,last_page_valid_tokens,cow_events,cow_bytes_copied,valid_bytes_in_cowd_pages,wasted_bytes,waste_pct_of_copied,cow_bytes_pct_of_clone
2048,952,448,939524096,436731904,502792192,53.52,50.00

branch0_first10_tokens,5696,83053,59431,15512,9248,20465,29880,34106,110479,110911
