instance_id,repo,ps_chars
sympy__sympy-20916,sympy/sympy,143
django__django-16100,django/django,281
django__django-11119,django/django,369
django__django-13809,django/django,457
scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,518
django__django-13551,django/django,603
sympy__sympy-14531,sympy/sympy,668
django__django-16662,django/django,740
django__django-11400,django/django,799
matplotlib__matplotlib-25311,matplotlib/matplotlib,908
django__django-12262,django/django,1030
sympy__sympy-12419,sympy/sympy,1141
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,1234
astropy__astropy-14365,astropy/astropy,1339
pydata__xarray-3677,pydata/xarray,1456
sympy__sympy-16450,sympy/sympy,1610
django__django-15503,django/django,1797
django__django-11740,django/django,1973
django__django-13810,django/django,2259
matplotlib__matplotlib-20859,matplotlib/matplotlib,2582
django__django-14752,django/django,2847
sympy__sympy-20428,sympy/sympy,3710
astropy__astropy-14309,astropy/astropy,4910
pylint-dev__pylint-7080,pylint-dev/pylint,24770
